# time,euler_x,euler_y,euler_z
2.562522888183593750e-03,-4.111733191879729521e-01,-4.061908888078096247e-01,1.860610111816193735e+00
9.191918373107910156e-02,-4.122086838351909366e-01,-4.088473666152729891e-01,1.862146539761383668e+00
1.764464378356933594e-01,-4.078065830523369684e-01,-4.134745505117380926e-01,1.857981011928877546e+00
2.655622959136962891e-01,-4.069928670801273851e-01,-4.174019832909743322e-01,1.865135051181290304e+00
3.521740436553955078e-01,-4.143399241908187758e-01,-4.162700781313544152e-01,1.871896700381305623e+00
4.362499713897705078e-01,-4.102203161010450350e-01,-4.043323374552942884e-01,1.863981649011471564e+00
5.183234214782714844e-01,-4.102203161010450350e-01,-4.043323374552942884e-01,1.863981649011471564e+00
6.001825332641601562e-01,-4.055542664063811475e-01,-4.128148915719431766e-01,1.858188725406039632e+00
6.846842765808105469e-01,-4.068424151358743801e-01,-4.142783964926368689e-01,1.856534334823090049e+00
7.678887844085693359e-01,-4.095242163610629538e-01,-4.175879482460536085e-01,1.864600511221027102e+00
8.510675430297851562e-01,-4.030319844016708730e-01,-4.162342472980158359e-01,1.860932841435115837e+00
9.353675842285156250e-01,-4.100597446803094792e-01,-4.131043258294564424e-01,1.864345294587260948e+00
1.018121480941772461e+00,-4.122361070204958455e-01,-4.110965155254138192e-01,1.861626855467475083e+00
1.100796937942504883e+00,-4.064213854783816915e-01,-4.177651889093934034e-01,1.858544617734027682e+00
1.185525417327880859e+00,-4.060997367957982496e-01,-4.196401878463877910e-01,1.856501160779761239e+00
1.269488096237182617e+00,-4.022817747961099366e-01,-4.166513262648683380e-01,1.852425128085921635e+00
1.359535217285156250e+00,-4.034621082081792931e-01,-4.189527951869906897e-01,1.862552823991522333e+00
1.451520442962646484e+00,-4.024992389178541075e-01,-4.220612659773721465e-01,1.858606235054793832e+00
1.548135280609130859e+00,-4.135675397478274506e-01,-4.046993985836799812e-01,1.888686239275735534e+00
1.652884960174560547e+00,-4.587945142310847491e-01,-4.223389239315433752e-01,2.031459519721471985e+00
1.751404762268066406e+00,-4.308074232262716352e-01,-5.294160693650225014e-01,2.062825404280865804e+00
1.849721431732177734e+00,-4.500688294472191542e-01,-5.291364333448635993e-01,2.016922685676745708e+00
1.955603361129760742e+00,-3.679447575123062641e-01,-5.114070425746581883e-01,1.859183806586329979e+00
2.056981086730957031e+00,-3.235192478265548344e-01,-4.906428780395504230e-01,1.827729380877500809e+00
2.157755374908447266e+00,-3.283058808893914993e-01,-4.653198572369208197e-01,1.865290070495429831e+00
2.263020992279052734e+00,-3.348169788472694641e-01,-4.540974561915467334e-01,1.876989214207108070e+00
2.372452497482299805e+00,-3.479635157019072000e-01,-4.535117882915649101e-01,1.895341465973573447e+00
2.489055633544921875e+00,-3.300388118918500258e-01,-4.772991013513843139e-01,1.881162519179930159e+00
2.588805437088012695e+00,-3.413322504113893707e-01,-4.644000606382001628e-01,1.894110801495243024e+00
2.687749862670898438e+00,-3.616787517565136501e-01,-4.586778866312875014e-01,1.971422015087479496e+00
2.771779060363769531e+00,-3.487217264306514686e-01,-4.766944377208197636e-01,1.984745601252877911e+00
2.853313207626342773e+00,-3.542563934794649150e-01,-4.742232727925503877e-01,1.999084598076974029e+00
2.942061662673950195e+00,-3.435547988673757214e-01,-4.751663606322547029e-01,1.991114184528509634e+00
3.028911113739013672e+00,-3.496536358824389179e-01,-4.774335330386081377e-01,1.998077882265316019e+00
3.112324953079223633e+00,-3.486768130526859411e-01,-4.711194141871088981e-01,1.994964456058791580e+00
3.199620485305786133e+00,-3.423918767209750413e-01,-4.919091050195776305e-01,1.984432687158852460e+00
3.284757137298583984e+00,-3.711112117977907188e-01,-5.080146811366801352e-01,2.013223897788085637e+00
3.369042396545410156e+00,-3.819828530875051253e-01,-5.128090971866456904e-01,2.029546148469644429e+00
3.454133272171020508e+00,-4.042242871117592840e-01,-5.300185404434023528e-01,2.053553144424284937e+00
3.538116931915283203e+00,-4.039652174069827684e-01,-4.998425416578431424e-01,2.055408542287564089e+00
3.626765966415405273e+00,-4.063330397655462445e-01,-4.760847277912507725e-01,2.047870717981084887e+00
3.719473600387573242e+00,-3.923281580282265146e-01,-4.422516282906001628e-01,2.008232540105678421e+00
3.803892612457275391e+00,-3.976797950404985516e-01,-4.215048050894267817e-01,1.941841549388454879e+00
3.886693954467773438e+00,-3.969439602649479371e-01,-4.120863626337285535e-01,1.917659154273325672e+00
3.973400831222534180e+00,-4.016614954096010548e-01,-4.107870700024016664e-01,1.901482881048655482e+00
4.060377120971679688e+00,-4.036381278959749741e-01,-4.127327521104882102e-01,1.868286332267255823e+00
4.147700309753417969e+00,-4.074421049478956780e-01,-4.029845357291566010e-01,1.848023813753670197e+00
4.236226081848144531e+00,-3.912305806878529912e-01,-4.135105829722434123e-01,1.817138535187982740e+00
4.320595979690551758e+00,-3.973626078822632968e-01,-4.145626062780058962e-01,1.816521160304320759e+00
4.403401374816894531e+00,-3.837333933805076036e-01,-4.227087413148422623e-01,1.796995992850324075e+00
4.488123416900634766e+00,-3.896702334231972875e-01,-4.250088543967815990e-01,1.793882945259925865e+00
4.573407173156738281e+00,-3.932926150165902968e-01,-4.145490841159249484e-01,1.790053185144060865e+00
4.658738136291503906e+00,-4.022241294955282154e-01,-4.116377948475706816e-01,1.804156806848181693e+00
4.741109848022460938e+00,-3.941841670541441633e-01,-4.204267825357790311e-01,1.800322895374281584e+00
4.822814464569091797e+00,-3.809354756675481513e-01,-4.133211124338749265e-01,1.769019796503461972e+00
4.906178474426269531e+00,-3.889296712473583328e-01,-3.662861759762627845e-01,1.735571121871178235e+00
4.987718582153320312e+00,-3.889181466416004040e-01,-3.741118579525914978e-01,1.746736991373746495e+00
5.071482181549072266e+00,-3.907174362002207024e-01,-3.255043605519525318e-01,1.816857865216696233e+00
5.156825304031372070e+00,-3.419300569593507477e-01,-2.757000668216265105e-01,1.862161659726845109e+00
5.239536762237548828e+00,-2.412542166354585405e-01,-2.126475747057798849e-01,1.937696090377214020e+00
5.322939872741699219e+00,-1.909924897810340028e-01,-2.128445337497830714e-01,2.082488705702997933e+00
5.404443264007568359e+00,-1.926809361878047966e-01,-2.280223670549548221e-01,2.188481619552676172e+00
5.487743139266967773e+00,-1.713577160209758254e-01,-2.215847176293479492e-01,2.234481907574012105e+00
5.572599172592163086e+00,-2.242181656949664426e-01,-2.147287502537778003e-01,2.321898024652290005e+00
5.656954050064086914e+00,-3.342430408125611763e-01,-2.193061501944251201e-01,2.441112855470537912e+00
5.739785194396972656e+00,-5.634089968870061860e-01,-1.574952494739814135e-01,2.711447770461200779e+00
5.822691440582275391e+00,-6.797002411390880017e-01,-1.155945113193079798e-01,2.870687924608922081e+00
5.906035184860229492e+00,-7.236502447996027154e-01,-1.590470979192502021e-01,3.033119772603107833e+00
5.990935325622558594e+00,-9.973429686637913516e-01,-2.177700830345834504e-01,-3.129204382564362064e+00
6.086002111434936523e+00,-1.119080476112668254e+00,-1.694981438186962119e-01,-2.951691396895386621e+00
6.172985792160034180e+00,-1.569413471052468978e+00,1.018846067572749536e-01,-2.717232505341688586e+00
6.256848573684692383e+00,-1.697803752535457900e+00,1.048832559249792684e-01,-2.291804299407524947e+00
6.340152978897094727e+00,-3.690077585328799259e-03,-3.875016721376245421e-02,-3.141320562643083569e+00
6.422484159469604492e+00,8.120819270516221877e-04,-3.789520872791563022e-02,-3.140654023748285617e+00
6.505183458328247070e+00,-8.461916215828244603e-01,3.769081363690134356e-01,-3.095447369953324035e+00
6.588200569152832031e+00,-5.233904936329165647e-01,4.141722536167449231e-01,2.840274276380058360e+00
6.673077583312988281e+00,-3.603939559951573335e-01,4.106143015837804278e-01,2.319654338640055879e+00
6.758432865142822266e+00,-2.335875800145057468e-01,3.328440356185966564e-01,2.011866291377240490e+00
6.841232061386108398e+00,-2.288510497673624799e-01,6.425721803488393391e-02,1.872060315269665765e+00
6.924118757247924805e+00,-2.149643373260040624e-01,5.663345631856109286e-02,1.814111465914881816e+00
7.010056257247924805e+00,-2.059417623133532604e-01,-1.232108115177856789e-01,1.791554909177089261e+00
7.091462373733520508e+00,-1.324961101087711590e-01,-4.725716682423826143e-01,1.767106286832914597e+00
7.172569274902343750e+00,-4.521907310708372929e-02,-6.583398211882113271e-01,1.743383089807561959e+00
7.255442619323730469e+00,1.815352821075377765e-02,-8.091272023766817867e-01,1.716166682990516001e+00
7.339054107666015625e+00,-1.343554850027659509e-01,-7.178478074105745232e-01,1.850014525526574527e+00
7.422521114349365234e+00,-1.731808624058482904e-01,-6.041732007146629613e-01,2.008023825639253523e+00
